OPD,Day,Clinic,Diagnosis and Condition
ศูนย์สุขภาพ มช.,,ตรวจอายุรกรรมทั่วไป (ศูนย์สุขภาพ มช.),นักศึกษามช.
ศูนย์สุขภาพ มช.,,ตรวจอายุรกรรมทั่วไป (ศูนย์สุขภาพ มช.),บุคลากรภายในมหาวิทยาลัยเชียงใหม่
ศูนย์สุขภาพ มช.,,ตรวจอายุรกรรมทั่วไป (ศูนย์สุขภาพ มช.),บริการทำแผล
ศูนย์สุขภาพ มช.,,ตรวจอายุรกรรมทั่วไป (ศูนย์สุขภาพ มช.),ตรวจภูมิคุ้มกันวัคซีน
ศูนย์สุขภาพ มช.,,ตรวจอายุรกรรมทั่วไป (ศูนย์สุขภาพ มช.),คลินิกวัคซีนทางเลือกชนิดต่างๆ
ศูนย์สุขภาพ มช.,,ตรวจอายุรกรรมทั่วไป (ศูนย์สุขภาพ มช.),ศูนย์สุขใจ (CMU Mental Health Center)
Pain,,Pain clinic,Pain
Pain,,Pain clinic,Chronic Pain
Pain,,Pain clinic,ปวดเรื้อรัง
Pain,,Pain clinic,คลินิกแก้ปวด
Pain,,Pain clinic,Consult Pain
