OPD,Day,Clinic,Time,Age Group,Tel,หมายเหตุ,,,,
EID,Friday,EID Clinic,,,38589,"ไข้ ร่วมกับไอ / เจ็บคอ / น้ำมูก / เสมหะ / ไข้ออกผื่น / อีสุกอีใส / งูสวัด / Covid-19 / ไข้หวัดใหญ่ / RSV / หิด"
EID,Saturday,EID Clinic,8.00 - 16.00,,38589,"ไข้ ร่วมกับไอ / เจ็บคอ / น้ำมูก / เสมหะ / ไข้ออกผื่น / อีสุกอีใส / งูสวัด / Covid-19 / ไข้หวัดใหญ่ / RSV / หิด"
EID,Monday,EID - TB Clinic,,,38589,"ผู้ป่วยวัณโรคปอด / ไอเรื้อรัง > 2 สัปดาห์ / เสมหะปนเลือด"
EID,Tuesday,EID - TB Clinic,,,38589,"ผู้ป่วยวัณโรคปอด / ไอเรื้อรัง > 2 สัปดาห์ / เสมหะปนเลือด"
EID,Wednesday,EID - TB Clinic,,,38589,"ผู้ป่วยวัณโรคปอด / ไอเรื้อรัง > 2 สัปดาห์ / เสมหะปนเลือด"
EID,Thursday,EID - TB Clinic,,,38589,"ผู้ป่วยวัณโรคปอด / ไอเรื้อรัง > 2 สัปดาห์ / เสมหะปนเลือด"
EID,Friday,EID - TB Clinic,,,38589,"ผู้ป่วยวัณโรคปอด / ไอเรื้อรัง > 2 สัปดาห์ / เสมหะปนเลือด"
EID,Saturday,EID - TB Clinic,8.00 - 16.00,,38589,"ผู้ป่วยวัณโรคปอด / ไอเรื้อรัง > 2 สัปดาห์ / เสมหะปนเลือด"
108,Monday,ตรวจอายุรกรรมทั่วไป (108),8.00 - 20.00,≥15,"35170 , 36182",สิทธิประกันสังคมมหาราชฯ / เคสเดิม 108 คลินิก / ตรวจสุขภาพขอใบรับรองแพทย์ / ใบขับขี่ / สมัครเรียน สมัครงาน / อุปสมบท / ตรวจสุขภาพประจำปี
108,Tuesday,ตรวจอายุรกรรมทั่วไป (108),8.00 - 20.00,≥15,"35170 , 36182",สิทธิประกันสังคมมหาราชฯ / เคสเดิม 108 คลินิก / ตรวจสุขภาพขอใบรับรองแพทย์ / ใบขับขี่ / สมัครเรียน สมัครงาน / อุปสมบท / ตรวจสุขภาพประจำปี
108,Wednesday,ตรวจอายุรกรรมทั่วไป (108),8.00 - 20.00,≥15,"35170 , 36182",สิทธิประกันสังคมมหาราชฯ / เคสเดิม 108 คลินิก / ตรวจสุขภาพขอใบรับรองแพทย์ / ใบขับขี่ / สมัครเรียน สมัครงาน / อุปสมบท / ตรวจสุขภาพประจำปี
108,Thursday,ตรวจอายุรกรรมทั่วไป (108),8.00 - 20.00,≥15,"35170 , 36182",สิทธิประกันสังคมมหาราชฯ / เคสเดิม 108 คลินิก / ตรวจสุขภาพขอใบรับรองแพทย์ / ใบขับขี่ / สมัครเรียน สมัครงาน / อุปสมบท / ตรวจสุขภาพประจำปี
108,Friday,ตรวจอายุรกรรมทั่วไป (108),8.00 - 20.00,≥15,"35170 , 36182",สิทธิประกันสังคมมหาราชฯ / เคสเดิม 108 คลินิก / ตรวจสุขภาพขอใบรับรองแพทย์ / ใบขับขี่ / สมัครเรียน สมัครงาน / อุปสมบท / ตรวจสุขภาพประจำปี
108,Saturday,ตรวจอายุรกรรมทั่วไป (108),8.00 - 16.00,≥15,"35170 , 36182",สิทธิประกันสังคมมหาราชฯ / เคสเดิม 108 คลินิก / ตรวจสุขภาพขอใบรับรองแพทย์ / ใบขับขี่ / สมัครเรียน สมัครงาน / อุปสมบท / ตรวจสุขภาพประจำปี
108,Sunday,ตรวจอายุรกรรมทั่วไป (108),8.00 - 16.00,≥15,"35170 , 36182",สิทธิประกันสังคมมหาราชฯ / เคสเดิม 108 คลินิก / ตรวจสุขภาพขอใบรับรองแพทย์ / ใบขับขี่ / สมัครเรียน สมัครงาน / อุปสมบท / ตรวจสุขภาพประจำปี
ศูนย์สุขภาพ มช.,Monday,ตรวจอายุรกรรมทั่วไป (ศูนย์สุขภาพ มช.),8.00 - 20.00,≥15,43481,"นักศึกษามช. / บุคลากรมช. / ทำแผล / ตรวจภูมิคุ้มกันวัคซีน / ศูนย์สุขใจ (CMU Mental Health Center)"
ศูนย์สุขภาพ มช.,Tuesday,ตรวจอายุรกรรมทั่วไป (ศูนย์สุขภาพ มช.),8.00 - 20.00,≥15,43481,"นักศึกษามช. / บุคลากรมช. / ทำแผล / ตรวจภูมิคุ้มกันวัคซีน / ศูนย์สุขใจ (CMU Mental Health Center)"
ศูนย์สุขภาพ มช.,Wednesday,ตรวจอายุรกรรมทั่วไป (ศูนย์สุขภาพ มช.),8.00 - 20.00,≥15,43481,"นักศึกษามช. / บุคลากรมช. / ทำแผล / ตรวจภูมิคุ้มกันวัคซีน / ศูนย์สุขใจ (CMU Mental Health Center)"
ศูนย์สุขภาพ มช.,Thursday,ตรวจอายุรกรรมทั่วไป (ศูนย์สุขภาพ มช.),8.00 - 20.00,≥15,43481,"นักศึกษามช. / บุคลากรมช. / ทำแผล / ตรวจภูมิคุ้มกันวัคซีน / ศูนย์สุขใจ (CMU Mental Health Center)"
ศูนย์สุขภาพ มช.,Friday,ตรวจอายุรกรรมทั่วไป (ศูนย์สุขภาพ มช.),8.00 - 20.00,≥15,43481,"นักศึกษามช. / บุคลากรมช. / ทำแผล / ตรวจภูมิคุ้มกันวัคซีน / ศูนย์สุขใจ (CMU Mental Health Center)"
ศูนย์สุขภาพ มช.,Saturday,ตรวจอายุรกรรมทั่วไป (ศูนย์สุขภาพ มช.),8.00 - 16.00,≥15,43481,"นักศึกษามช. / บุคลากรมช. / ทำแผล / ตรวจภูมิคุ้มกันวัคซีน / ศูนย์สุขใจ (CMU Mental Health Center)"
Pain,Monday,Pain clinic,8.00 - 10.00,≥15,36379,รับเฉพาะ Case Consult จากห้องตรวจของมหาราชฯ เท่านั้น
Pain,Tuesday,Pain clinic,8.00 - 10.00,≥15,36379,รับเฉพาะ Case Consult จากห้องตรวจของมหาราชฯ เท่านั้น
Pain,Wednesday,Pain clinic,8.00 - 10.00,≥15,36379,รับเฉพาะ Case Consult จากห้องตรวจของมหาราชฯ เท่านั้น
Pain,Thursday,Pain clinic,8.00 - 10.00,≥15,36379,รับเฉพาะ Case Consult จากห้องตรวจของมหาราชฯ เท่านั้น
Pain,Friday,Pain clinic,8.00 - 10.00,≥15,36379,รับเฉพาะ Case Consult จากห้องตรวจของมหาราชฯ เท่านั้น
